,1,2,3,4,5,6,7,8,9,10,11,12
A,NO3_1_RCC1906,NO3_1_RCC4334,NO3_1_RCC6838,NO3_1_DSM13394,NO3_1_DSM17023,NO3_1_DSM17270,NO3_1_DSM23608,0.1mM_1_RCC1906,0.1mM_1_RCC4334,0.1mM_1_RCC6838,0.1mM_1_DSM13394,0.1mM_1_DSM17023
B,NO3_2_RCC1906,NO3_2_RCC4334,NO3_2_RCC6838,NO3_2_DSM13394,NO3_2_DSM17023,NO3_2_DSM17270,NO3_2_DSM23608,0.1mM_2_RCC1906,0.1mM_2_RCC4334,0.1mM_2_RCC6838,0.1mM_2_DSM13394,0.1mM_2_DSM17023
C,NO3_3_RCC1906,NO3_3_RCC4334,NO3_3_RCC6838,NO3_3_DSM13394,NO3_3_DSM17023,NO3_3_DSM17270,NO3_3_DSM23608,0.1mM_3_RCC1906,0.1mM_3_RCC4334,0.1mM_3_RCC6838,0.1mM_3_DSM13394,0.1mM_3_DSM17023
D,0.1mM_1_DSM17270,0.1mM_1_DSM23608,2.5mM_1_RCC1906,2.5mM_1_RCC4334,2.5mM_1_RCC6838,2.5mM_1_DSM13394,2.5mM_1_DSM17023,2.5mM_1_DSM17270,2.5mM_1_DSM23608,5.0mM_1_RCC1906,5.0mM_1_RCC4334,5.0mM_1_RCC6838
E,0.1mM_2_DSM17270,0.1mM_2_DSM23608,2.5mM_2_RCC1906,2.5mM_2_RCC4334,2.5mM_2_RCC6838,2.5mM_2_DSM13394,2.5mM_2_DSM17023,2.5mM_2_DSM17270,2.5mM_2_DSM23608,5.0mM_2_RCC1906,5.0mM_2_RCC4334,5.0mM_2_RCC6838
F,0.1mM_3_DSM17270,0.1mM_3_DSM23608,2.5mM_3_RCC1906,2.5mM_3_RCC4334,2.5mM_3_RCC6838,2.5mM_3_DSM13394,2.5mM_3_DSM17023,2.5mM_3_DSM17270,2.5mM_3_DSM23608,5.0mM_3_RCC1906,5.0mM_3_RCC4334,5.0mM_3_RCC6838
G,5.0mM_1_DSM13394,5.0mM_3_DSM13394,5.0mM_2_DSM17023,5.0mM_1_DSM17270,5.0mM_3_DSM17270,5.0mM_2_DSM23608,Control_NO3_1,Control_0.1mM_1,Control_2.5mM_1,Control_5.0mM_1,Blank_1,Blank_3
H,5.0mM_2_DSM13394,5.0mM_1_DSM17023,5.0mM_3_DSM17023,5.0mM_2_DSM17270,5.0mM_1_DSM23608,5.0mM_3_DSM23608,Control_NO3_2,Control_0.1mM_2,Control_2.5mM_2,Control_5.0mM_2,Blank_2,Blank_4
